2025-02-01 21:03:14 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error! User has been deactivated "}


2025-02-01 21:43:10 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error: The index 1 is out of range."}


2025-02-01 21:44:50 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error: The index 1 is out of range."}


2025-02-01 21:45:23 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error: Incorrect syntax near ','."}


2025-02-01 21:45:28 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error: Incorrect syntax near ','."}


2025-02-01 21:49:49 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error: Incorrect syntax near ','."}


2025-02-01 21:54:21 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error: The column name ObjectiveName is not valid."}


2025-02-01 21:56:38 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error: Incorrect syntax near '.'."}


2025-02-01 21:57:57 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error: Incorrect syntax near '.'."}


2025-02-01 21:59:01 ~ DFA | com.co.ke.main.EntryPoint | 192 | lambda$null$0() | Response to channel - {"responseCode":"999","responseDescription":"Error: Incorrect syntax near '.'."}


